자치구, 불법주차단속 ,자동차등록대수,주차면수,주차장확보율,거주인구,유동인구,버스,지하철,택시
강남구,234023 ,248320 ,413898 ,166.6792848,1300983 ,1432542 ,93477395 ,139523472 ,30147451 
강동구,56574 ,153186 ,209959 ,137.0614808,1130243 ,472688 ,32292610 ,45671791 ,9550836 
강북구,47523 ,75180 ,96636 ,128.5395052,739717 ,345269 ,54255008 ,28068271 ,5932508 
강서구,145065 ,207536 ,315812 ,152.1721533,1422973 ,404635 ,52107668 ,62794479 ,10994705 
관악구,83226 ,118615 ,153960 ,129.7980862,1286075 ,314510 ,81960533 ,75428105 ,8799726 
광진구,42221 ,98535 ,134389 ,136.3870706,871795 ,600984 ,29859594 ,56633974 ,9237922 
구로구,69162 ,148659 ,191823 ,129.0355781,1020491 ,271063 ,60237240 ,56036771 ,7113869 
금천구,44746 ,91676 ,139148 ,151.782364,605219 ,212400 ,42139004 ,19830665 ,4782615 
노원구,58605 ,152529 ,178194 ,116.8263084,1233568 ,151142 ,46165813 ,52909026 ,9665232 
도봉구,48377 ,95690 ,110933 ,115.9295642,766334 ,221197 ,37019485 ,25198610 ,5521781 
동대문구,71294 ,99447 ,148103 ,148.9265639,877075 ,272136 ,57791744 ,31218408 ,8932560 
동작구,57340 ,106037 ,137661 ,129.8235522,966637 ,330723 ,58188663 ,45706535 ,5482208 
마포구,95923 ,122017 ,199423 ,163.4387012,931254 ,226219 ,56944960 ,78992624 ,12193528 
서대문구,45879 ,90933 ,132942 ,146.19775,784905 ,158452 ,60695355 ,28742860 ,6519909 
서초구,138560 ,176798 ,310949 ,175.8781208,984651 ,1349646 ,72872287 ,104225039 ,14220978 
성동구,60161 ,104434 ,134544 ,128.8316066,709773 ,161851 ,31552270 ,56470250 ,8064905 
성북구,40401 ,122644 ,155254 ,126.5891523,1081050 ,140172 ,67929727 ,37822410 ,7039123 
송파구,97753 ,250142 ,339227 ,135.6137714,1613881 ,272136 ,60517668 ,89719740 ,16186249 
양천구,70248 ,151846 ,166327 ,109.5366358,1069207 ,427905 ,46183700 ,30359568 ,6635854 
영등포구,101742 ,144595 ,203359 ,140.6404094,985002 ,272136 ,61964048 ,81402306 ,14133151 
용산구,83674 ,75505 ,118632 ,157.1180717,576373 ,12474 ,43905878 ,32335411 ,10790696 
은평구,52757 ,133758 ,176603 ,132.0317289,1155080 ,101230 ,57517380 ,45319869 ,7579254 
종로구,112082 ,50336 ,92062 ,182.894946,376946 ,273209 ,57821751 ,75771163 ,8167055 
중구,182320 ,58837 ,109153 ,185.5176165,324709 ,2036721 ,39190006 ,100938579 ,9727454 
중랑구,41410 ,116094 ,132884 ,114.4624184,967693 ,87350 ,41568031 ,29571182 ,8154731 
